DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
CELM CIA DE EQUIPAMENTOS LABORATORIAIS MODERNOS,CELM,CELM,61.086.823/0001-76,26/04/1972,1/5/2011,"Al. Amazonas , 764  - Alphaville; CEP:06454-070; Barueri - SP; Tel.:(11)4191-1278",Falta de atualização do registro perante a BMFBOVESPA.
CELULAR CRT PARTICIPAÇÕES S.A. ,CRT CELULAR,CRTP,03.010.016/0001-73,30/08/1999,31/05/2006,"Rua José Bonifacio, 245 - 7ª andar; CEP:90040-130; São Paulo - SP; Tel.:(51)3215-0173","Incorporada pela Vivo Participações S.A. (atual denominação social da Telesp Celular Participações S.A.). Cada ação foi substituída por 7,0294 ações da Vivo Participações S.A., respeitadas as espécies."
CENTENNIAL ASSET PARTICIP.MINAS-RIO S.A.,CENT MIN-RIO,CTMI,07.949.970/0001-87,7/19/2006,11/19/2013,"Avenida das Américas, 3443 - Bloco 3/Sala 302; CEP: 22631-003; Rio de Janeiro - RJ; Tel. (21) 3031-3431",Cancelou o registro de cia aberta. 
CENTENNIAL ASSET PARTICIPAÇÕES AÇU S.A.,CENT ACU,CTLG,08.835.366/0001-92,12/11/2007,3/26/2014,"Praça Mahatma Gandhi, 14 - 22º andar; CEP: 20031-100; Rio de Janeiro - RJ; Tel.: (21) 2163-5500",Cancelou registro de cia. aberta.
CENTRAIS ELÉTRICAS DE CACHOEIRA DOURADA S.A.,CACH DOURADA,CDOU,01.672.223/0001-68,7/10/1997,9/19/2001,"Rod. Go Nr,206 - Km 0
; CEP: 75560 - 000 
;Cachoeira Dourada - GO
; Tel.: (62)434-9000","Cancelou registro de Cia Aberta . O acionista controlador, Lajas Holding Inc. realizou OPA na BOVESPA em 09/08/2001 ao preço de R$ 260,00 /mil ações."
CERAMICA CHIARELLI S.A.,CHIARELLI ,CCHI,52.736.840/0001-10,4/26/1973,12/1/2016,"Rua Domingos Brunelli, 180; CEP: 13840-020; Mogi Guaçu - SP; Tel.: (19) 3861-0642",Cancelou registro de cia. aberta.
CETENCO ENGENHARIA S.A.,CETENCO,CTEN,61.550.497/0001-06,1/10/1973,11/26/2002,"Rua Maria Paula,36 - 
8ºandar / Cjto. A
; CEP: 13190 - 000
; São Paulo -SP
; Tel.: (11)3241-4633 ","Cancelou registro de Cia Aberta . O acionista controlador, Construtora Centenário S.A. - Empreendimentos e Participações realizou OPA com procedimento simplificado em mercado de Balcão Organizado ao preço de R$ 2,55 /mil ações."
CETERP-CENTRAIS TELE. DE RIBEIRÃO PRETO,CETERP,CETE,00.956.274/0001-59,1/30/1996,11/20/2000,"Rua Américo Brasiliense,400
; CEP: 14015 - 050
; Ribeirão Preto - SP  
; Tel.: (16)601-5116","Cancelou registro de Cia Aberta . O acionista controlador, Telesp - Telecomunicações de São Paulo realizou OPA na BOVESPA em 06/10/2000 ao preço de R$ 14,26 /mil ações."
CETIP S.A. - MERCADOS ORGANIZADOS,CETIP,CTIP ,09.358.105/0001-91,10/26/2009,7/14/2017,"Avenida República do Chile,  230; 11º andar; CEP: 20031-919; Rio de Janeiro-RJ; Tel.:(21) 2276-7474",Cancelou registro de cia aberta. 
CEVAL PARTICIPAÇÕES S.A.,CEVAL PART,CVPT,02.189.227/0001-52,1/29/1998,8/4/1999,"Rod. Jorge Lacerda  Km 20
; CEP: 89110-000
; Gaspar - SC
; Tel.:  (47)331-2222","Dissolução por liquidação da empresa. Cada lote de mil ações independente da espécie foi substituído pelas seguintes quantidades de ações das empresas investidas: Ceval Alimentos S.A. 841,633254 ações ON e 213,273463 ações PN; Seara Alimentos S.A. 841,633254 ações ON e 339,123560  ações PN; e Santista Alimentos S.A. 1,084431 ações ON."
China Construction Bank (Brasil) Banco Múltiplo S.A. ,BICBANCO ,BICB,07.450.604/0001-89,9/27/2007,10/28/2015,"Avenida Brigadeiro Faria Lima, 4440, 1º ao 5º andar; CEP: 04538-132; São Paulo-SP; Tel.: (11) 2173-9000",Cancelou registro de cia aberta. A acionista CCB Brazil Financial Holding – Investimentos e Participações LTDA. realizou OPA na BMFBOVESPA em 28/09/2015.
CIA AMAZÔNIA TÊXTIL DE ANIAGEM CATA ,CATA,CTAN,04.896.759/0001-55,12/15/1975,4/23/2001,"Av. Bernardo Sayão,138
; CEP: 66023 - 130 ; Belém - PA
; Tel.: (11)224-0133","Cancelou registro de Cia Aberta . O acionista controlador, Sociedade de Participação e Investimentos da Amazônia Ltda. realizou OPA na BOVESPA em 23/01/2001 ao preço de R$ 35,00/mil ações."
CIA ANTARCTICA PAULISTA IND. BR. BC.,ANTARCTICA,ANTA,60.522.000/0001-83,26/12/1915,26/01/2000,"Av. Presidente Wilson,27A       ; CEP: 03107 - 900
; São Paulo - SP 
; Tel.: (11)3273-1036","Incorporada pela Companhia de Bebidas das Américas AMBEV. Com emissão de 107.294.040 ações ON e 14.541.408 PN, cada uma ação foi substituída por 84 ações da AMBEV, observada a espécie. "
CIA BANDEIRANTES DE ARMAZENS GERAIS ,BAN ARMAZENS,CBAG,58.128.174/0001-14,1/9/1969,24/05/2011,"Av. Presidente Wilson, 5.047 ; CEP:04220-001; São Paulo - SP; Tel.:(13)2104-5900","Cancelou registro de cia aberta. O acionista controlador Érico Sodré Quirino Ferreira através de procedimento diferenciado realizou OPA na BMFBOVESPA em 09/05/2011 ao preço de R$ 108,67 /ação."
CIA BANGU DE DESENVOLVIMENTO E PARTICIPAÇÕES,BANGU DESENV,CBDP ,42.584.128/0001-90,7/17/1981,3/9/1999,"Rua Fonseca, 240
; CEP: 21820-000 
; Rio de Janeiro - RJ
; Tel.:  (21)401-9555",Registro cancelado pela BVRJ. A BOVESPA cancelou a autorização para negociação em 26/11/1998.
CIA BEBIDAS DAS AMERICAS - AMBEV,AMBEV ,AMBV,02.808.708/0001-07,12/11/1998,12/13/2013,"Rua Dr. Renato Paes de Barros, 1017 - 4º andar; CEP: 04530-001; São Paulo-SP; Tel.. (11) 2122-1414",Incorporada pela Ambev S.A.
CIA BRAS. ANTIBIÓTICOS  CIBRAN,CIBRAN,CBNT,29.075.363/0001-78,7/24/1986,12/10/1999,"Rod. Br,101 - Km 273
; CEP: 24800-000
; Tanguá - RJ
; Tel.:  (21)747-1156",Falta de atualização do registro perante a BVRJ. 
CIA BRASILEIRA DE CARTUCHOS,CBC CARTUCHO,CCTU,57.494.031/0001-63,15/06/1988,19/11/2007,"Av. Humberto de Campos, 3220 ; CEP:09426-900; Ribeirão Pires - SP; Tel.:(11)4822-8220","Cancelou registro de Cia Aberta. A acionista controladora, DFV Participações S.A. realizou OPA na BOVESPA em 30/10/2007 ao preço de R$ 35,36 /ação.  "
CIA BRASILEIRA DE PETRÓLEO IPIRANGA ,IPIRANGA PET,PTIP,33.069.766/0001-81,1/9/1969,21/07/2008,"Rua Francisco Eugênio , 329 ; CEP:20941-900; Rio de Janeiro - RJ; Tel.:(21)2574-5591","Incorporada pela Ultrapar Participações S.A. Cada uma ação ON ou PN foi substituída por 0,41846 ação PN da Ultrapar Participações S.A."
CIA CACIQUE DE CAFE SOLUVEL,CACIQUE ,CIQU,78.588.415/0001-15,1/11/1968,3/24/2015,"Rua Horácio Sabino Coimbra,100; CEP: 86072-900; Londrina-PR; Tel.: (43) 4009-6186",Cancelou registro de cia. aberta.
CIA CERVEJARIA BRAHMA,BRAHMA,BRHA,33.366.980/0001-08,1/1/1969,11/20/2000,"Rua Marquês de Sapucaí,200
; CEP: 20215 - 900
; Rio de Janeiro - RJ
; Tel.: (21)503-9393","Incorporada pela Companhia de Bebidas das Américas AMBEV. Com emissão de 1.176.535.901 ações ON e 4.452.258.095 PN, cada uma ação foi substituída por ação da AMBEV, observadas as espécie."
CIA CIMENTO PORTLAND ITAÚ ,CIM ITAU,ICPI,24.030.025/0001-04,7/11/1939,5/31/2004,"Rod. Minas Gerais,050 Km 341 
; CEP: 37975 - 000
; Itau de Minas - MG 
; Tel.: (35)536-1301 ","Cancelou registro de Cia Aberta . O acionista controlador  Votorantim Cimento Ltda. realizou OPA  por meio da adoção de procedimento diferenciado no período de 03/04 a 03/05/2004 ao preço de R$ 703,11."
CIA COMERCIAL SCHRADER,SCHRADER,SCHA,82.636.887/0001-73,9/11/1972,10/4/2000,"Rua Itajaí,625
; CEP: 89015 - 200
;Blumenau - SC
; Tel.: (47)326-8722","Cancelou registro de Cia Aberta . O acionista controlador, Luca Empreendimentos e Participações e Consultoria Ltda. realizou OPA na BOVESPA em 13/09/2000 ao preço de R$ 0,51 /ação. Não houve oferta de venda."
"CIA DE PARTICIPAÇÕES ALPHA 
",ALPHA PART,APHA,01.996.119/0001-29 ,9/16/1997,1/13/2000,"Av. Brigadeiro Faria Lima,2055 - 7ºandar / Sala A
; CEP: 01452 - 001
; São Paulo - SP 
; Tel.: (11)3039-1800",Mudou registro para Balcão Organizado (SOMA).
CIA DOCAS DE IMBITUBA,DOC IMBITUBA,IMBI,84.208.123/0001-02,1/9/1969,3/6/2017,Praça Henrique Lage - Ed. 11/Térreo; CEP: 88780-000; Imbituba-SC; Tel.:(48) 3255-0080,"Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
CIA ELDORADO DE HOTÉIS,ELDORADO,ASSM,62.791.116/0001-43,13/12/1972,24/07/2007,"Al. Santos, 1800 - 1º andar / Cjto. 1B; CEP:01419-002; São Paulo - SP; Tel.:(11)3253-3233","Cancelou registro de Cia Aberta. O acionista controlador Sr. Bernardo Sahm realizou OPA por meio da adoção de procedimento diferenciado no período de 06/06 até 05/07/2007 ao preço de R$ 1,71 /ação atualizado pela TR pró rata-temporis acrescido de 6% a.a. desde 23/02/2007 até a data do pagamento 10/07/2007. "
CIA ENERGÉTICA MERIDIONAL,ENER MERID,EMCS,02.201.268/0001-17,26/02/1998,17/04/2008,"Rua Antonio Dib Mussi, 366 ; CEP:88015-110; Florianopolis - SC; Tel.:(48)221-7060","Incorporada pela Tractebel Energia S.A., tendo em vista que a Cia Energética Meridional já era subsidiária integral da Tractebel Energia S.A., não houve relação de troca de ações. "
CIA FIAÇÃO TECELAGEM PARÁ DE MINAS,PARA DEMINAS,CFTP,23.116.551/0001-10,5/13/1981,1/9/2004,"Rua Mello Guimarães,622
; CEP: 35660 - 163
; Pará de Minas - MG
; Tel.: (37)231-6020",Registro cancelado pelo BOVMESB. A BOVESPA cancelou a autorização para negociação em 17/04/2000.  
CIA FLUMINENSE DE REFRIGERANTES,FLUM REFRIG ,CFLU,31.456.338/0001-86,27/07/1972,1/10/2006,"Av. D. Pedro II, 87 ; CEP:27570-000; Porto Real - RJ; Tel.:(21)3353-2252","Cancelou registro de Cia Aberta. O acionista controlador, Porto Real S.A. Com. Ind. e Agropecuária realizou OPA na BOVESPA em 26/12/2005 ao preço de R$ 2.200,00 /ação. A ser atualializado pela TR pró rata-temporis desde 06/09/2005 até a data da liquidação financeira do leião, acrescido de juros de 6% (seis por cento) a.a. "
CIA FORÇA LUZ CATAGUAZES LEOPOLDINA ,F CATAGUAZES,FLCL,19.527.639/0001-58,14/01/1972,7/11/2007,"Praça Rui Barbosa , 80 ; CEP:36770-901; Cataguases - MG; Tel.:(32)3429-6282","Incorporada pela Energisa S.A. Cada lote de 8.428,45307906018 ações foi substituído por uma ação da Energisa S.A., sendo que as ações ordinárias receberam ordinárias e as ações preferenciais classes A e B receberam em ações preferenciais.  "
CIA HERING,CIA HERING,HERI,82.639.139/0001-44,6/12/1969,6/17/1999,"Rua Hermann Hering,1790
; CEP: 89010-900
; Blumenau - SC
; Tel.:  (47)321-3544","Incorporada pela Hering Têxtil S.A., em 30/04/1999 a Hering Têxtil S.A. alterou sua denominção social para Cia Hering. Cada ação foi substituída por 1,195038 ações da  nova Cia Hering, respeitando as espécies."
CIA IGUACU DE CAFE SOLUVEL,IGUACU CAFE ,IGUA,76.255.926/0001-90,12/8/1971,10/13/2014,Rod BR 369 - Rodovia Mello Peixoto - KM 88; CEP: 86300-000; Cornélio Procópio-PR; Tel.: (43) 3401-1211,"Cancelou registro de cia aberta. A acionista MARUBENI CORPORATION, por meio de sua subsidiária integral MBC EUROPE LIMITED realizou OPA na BMFBOVESPA em 10/09/2014 ao preço de R$ 8,34 /ação. "
CIA INDL. E MERCL.ART. DE FERRO CIMAF,CIMAF,MAFE,61.074.506/0001-30,12/21/1949,9/15/1999,"Av. Marechal Rondon,915
; CEP: 06093-900
; Osasco - SP
; Tel.:  (11)7084-8511","Cancelou registro de Cia Aberta. O acionista controlador, Cia Siderúrgica Belgo Mineira realizou OPA na BOVESPA em 20/08/1999 ao preço de R$ 104,85 /mil ações."
CIA INDUSTRIAL  E AGRÍCOLA STA. CECÍLIA,STA CECILIA,CECI,33.433.822/0001-15,7/21/1981,12/3/2001,"Av. Almirante Barroso,52 - 25ºandar / Sala 2501
; CEP: 20031 - 000
; Rio de Janeiro - RJ
; Tel.: (21)2240-1258 ","Cancelou registro de Cia Aberta . O acionista controlador, Solidariedade S.A. realizou  OPA na BOVESPA em 23/10/2001 ao preço de R$ 76,00 /mil ações."
CIA INDUSTRIAL  ITAUNENSE,ITAUNENSE,CIIT,21.254.073/0001-80,1/8/1986,5/18/2000,"Rua Godofredo Gonçalves,150
; CEP: 35680 - 047
; Itaúna - MG
; Tel.: (37)242-1242",Auto Falência decretada.
CIA INDUSTRIAL SCHLOSSER S.A.,SCHLOSSER ,SCLO ,82.981.929/0001-03,4/26/1978,3/6/2017,"Avenida Getúlio Vargas, 63/87; CEP: 88353-000; Brusque-SC; Tel.:(47) 3251-8001","Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
CIA INVESTIMENTOS LATINOAMERICANA,LATINOAMERIC ,LTAM ,00.189.469/0001-10 ,2/20/1995,10/8/1999,"Av. Rio Branco,131 Sala 801 / Parte
; CEP: 20031-000               
; Rio de Janeiro - RJ
; Tel.:  (21)514-9600 
",Mudou registro para Balcão Organizado.
CIA LECO DE PRODUTOS ALIMENTICIOS,LECO,LECO,60.434.487/0001-42,13/06/1986,26/02/2009,"Rua Marcos Arruda, 645 ; CEP:03020-000; São Paulo - SP; Tel.:(11)6099-5810","Cancelou o registro de Cia Aberta. A acionista controladora, Bertin S.A realizou OPA na BMFBOVESPA em 10/02/2009 ao preço de R$ 1,49 / ação. "
CIA LORENZ,LORENZ,LORZ,82.639.543/0001-18,3/9/1981,3/18/2002,"Al. Rio Branco,238  
Edif.Bauhaus / Sala 02
; CEP: 89103 - 000
; Blumenau - SC
; Tel.: (47)326-0101 ",Registro cancelado pela BVES. A BOVESPA cancelou a autorização para negociação em 25/05/2000.
CIA PARAÍBUNA DE METAIS,PARAIBUNA,PRBN,42.416.651/0001-07,12/14/1984,12/13/2002,"Rod.Br 267 - Km 119
; CEP: 36091 - 970
; Juiz de Fora - MG 
; Tel.: (32)3239-3000 ","Cancelou registro de Cia Aberta . O acionista controlador, Companhia Brasileira de Alumínio realizou OPA na BOVESPA em 12/11/2002 ao preço de R$ 3,23 /mil ações."
CIA PAULISTA DE ADM. DE ATIVOS  - CPA,C P A,CPAA,01.596.401/0001-19,12/4/1997,10/1/1999,"Av. Rangel Pestana,300 - 6ºandar / Sala 603
; CEP: 01017-000
; São Paulo - SP 
; Tel.:  (11)3104-8399",Cancelou registro de Cia Aberta. Aprovado por 100% dos acionistas. 
CIA PAULISTA DE ENERGIA ELÉTRICA ,PAUL ENERGIA,CPEE,61.015.582/0001-74,1/20/1972,3/20/2001,"Rua Padre Garcia Velho,73 - 
7ºandar / Cjto. 73
; CEP: 05421 - 030
; São Paulo - SP
; Tel.: (11)3095-2150 ","Cancelou registro de Cia Aberta . A acionista controladora, CMS Participações Ltda. realizou OPA na BOVESPA em 12/02/2001 ao preço de R$ 165,00 /mil ações."
CIA PAULISTA DE FERRO LIGAS,FERRO LIGAS,CPFL,57.487.142/0001-42,5/8/1973,1/16/2003,"Br 324 - Km 24 
; CEP: 43700 - 000
; Simões Filho - BA 
; Tel.: (71)3396-8200","Cancelou registro de Cia Aberta . A acionista controladora, Companhia Vale do Rio Doce realizou OPA na BOVESPA em 26/11/2002 ao preço de R$ 15,80 /ação."
CIA PAULISTA DE FERTILIZANTES,COPAS,COPA,61.087.912/0001-37,1/8/1947,4/30/2001,"Rua Machado de Assis,642
; CEP: 04106 - 001
; São Paulo - SP 
; Tel.: (11)5081-3364",Falta de atualização do registro perante a BOVESPA.
CIA PROG.INDL. DO BRASIL FAB. BANGU,BANGU P INDL,BANG,33.000.035/0001-80,1/3/1972,3/9/1999,"Rua Fonseca,240
; CEP: 21820-000 
; Rio de Janeiro - RJ
; Tel.:  (21)331-5151",Registro cancelado pela BVRJ. A BOVESPA cancelou a autorização para negociação em 26/11/1998.
CIA PROVIDENCIA INDUSTRIA E COMERCIO,PROVIDENCIA ,PRVI,76.500.180/0001-32,7/25/2007,12/30/2015,"BR 376 16900 - Km 16,5; Cep: 83015-000; São José dos Pinhais-PR; Tel.: (41) 3381-7639","Cancelou registro de cia aberta. A PGI Polímeros do Brasil S.A. realizou OPA na BMFBOVESPA em 13/10/2015 ao preço de R$ 9,05/ação. "
CIA RIOGRANDENSE DE TELECOMUNICAÇÕES-CRT,CRT,CRGT,92.794.486/0001-03,30/08/1999,11/4/2002,"Av. Borges de Medeiros,512 - 
15ºandar
; CEP: 90020 - 022
; Porto Alegre - RS
; Tel.: (51)229-1977 ","Incorporada pela Brasil Telecom S.A.  Cada ação foi substituída por 48,56495196 ações da Brasil Telecom S.A., observada a espécie."
CIA SANTISTA DE PAPEL,SANTISTA PAP,CSPP,61.360.434/0001-97,5/30/1962,3/27/2001,"Rua Clodomiro Amazonas,249 - 
10ºandar
; CEP: 04537 - 010
; São Paulo - SP
; Tel.: (11)3491-5342","Cancelou registro de Cia Aberta. A acionista controladora, Ripasa S.A. Celulose e Papel realizou OPA na BOVESPA em 06/02/2001 ao preço de R$ 154,15 /ação."
CIA SEGUROS MINAS BRASIL,SEG MIN BRAS,CSMB,17.197.385/0001-21,16/03/1998,19/10/2009,"Rua dos Caetes, 745 - 7º andar; CEP:30120-080; Belo Horizonte - MG; Tel.:(31)2102-3525","Cancelou registro de cia. aberta. O acionista controlador Zurich Participações e Representações Ltda. realiou OPA na BMFBOVESPA em 28/09/2009 ao preço de R$ 6,8825 /ação."
CIA SIDERÚRGICA DE TUBARÃO,SID TUBARAO,CSTB,27.251.974/0001-02,3/11/1993,16/03/2006,"Av. Brigadeiro Eduardo Gomes, 930 ; CEP:29164-280; Serra - ES; Tel.:(27)3348-1002","Incorporada pela Arcelor Brasil S.A. (atual denominação social da Companhia Siderúrgica Belgo-Mineira), cada 9,32 ações ON ou PN foram substituídas por 1 (uma) ação ON  da Arcelor Brasil S.A."
CIA SIDERÚRGICA PAULISTA - COSIPA ,COSIPA ,CSPC,02.790.893/0001-41,6/14/1999,4/14/2005,"Av. do Café,277  - 
9ºandar  / Torre B
; CEP: 04311-000 
; São Paulo - SP
; Tel.: (11)5070-8947","Cancelou registro de Cia Aberta . O acionista controlador, Usinas Siderúrgicas de Minas Gerais S.A.- Usiminas realizou OPA na BOVESPA em 18/03/2005 ao preço de R$ 1,24 /ação.                                                                   "
CIA SUZANO DE PAPEL E CELULOSE,SUZANO,SUZA,60.651.726/0001-16,6/4/1979,8/26/2004,"Av. Brigadeiro Faria Lima,1355 - 
8ºandar
; CEP: 01452 - 919
; São Paulo - SP 
; Tel.: (11)3037-9435","Incorporada pela Suzano Bahia Sul Papel e Celulose S.A.(atual denominação da Bahia Sul  Celulose S.A.). Cada ação da Cia Suzano de Papel e Celulose, foi substituída por 18,2765 ações da Suzano Bahia Sul Papel e Celulose S.A., sendo que os detentores de ações ON receberam em ON e os detentores de PN receberam em PNA. "
CIA TELEFONICA DA BORDA DO CAMPO,TEL B CAMPO,TBCP,57.486.177/0001-67,8/13/1954,3/22/2000,"Av. Portugal,375
; CEP: 09040 - 900
; Santo André - SP 
; Tel.: (11)411-2311","Incorporada pela  Telecomunicações de São Paulo - Telesp S.A. Cada ação foi substituída por 3,3538 ações da Telesp, observada a espécie.
"
CIA TEXTIL FERREIRA GUIMARÃES,F GUIMARAES,FGUI,33.470.022/0001-74,16/07/1974,1/5/2011,"Rua Buenos Aires, 48  - 8º andar; CEP:20070-022; Rio de Janeiro - RJ; Tel.:(21)3525-1800",Falta de atualização do registro perante a BMFBOVESPA.
CIA THERMAS DO RIO QUENTE,THERMAS RIO,QUEN,01.540.533/0001-29,12/27/1973,7/15/2004,"Fazenda Água Quente,S/N
; CEP: 75695 - 970
; Rio Quente - GO
; Tel.: (62)452-8040","Cancelou registro de Cia Aberta . O acionista controlador, Rio Quente Empreendimentos e Participações S.A. realizou OPA na BOVESPA em 05/07/2004 ao preço de R$ 115,09 /ação. Não estava admitida à cotação na BOVESPA."
CIMOB PARTICIPAÇÕES S.A.,CIMOB PART,GAFP,34.177.279/0001-03,4/20/1972,7/11/2012,"Avenida Brigadeiro Faria Lima, 1478 - 22º andar; CEP: 01451-001; São Paulo - SP; Tel.: (11) 3038-9000",Cancelou registro de cia aberta.
CIRCULO S.A.,LINH CIRCULO,ILLS,84.043.009/0001-70,7/26/1984,5/31/2004,"Rua Dr. Nereu Ramos,360
; CEP: 89110 - 000
; Gaspar - SC
; Tel.: (47)331-9500 ","Cancelou registro de Cia Aberta . O acionista controlador, Lince Participações Empreendimentos Ltda. realizou OPA por meio da adoção de procedimento diferenciado no período de 16/04 a 17/05/2004 ao preço de R$ 240,00 /ação."
CLARION S.A. AGROINDUSTRIAL,CLARION ,CLAN,24.956.666/0001-86,12/10/2008,12/23/2014,"Avenida Z, 1801 - Sala 01; CEP: 78098-530 ; Cuiabá-MT ; Tel.: (11) 3604-8111",Cancelou registro de cia. aberta.
CMA PARTICIPAÇÕES  S.A.,C M A PART,CMMA,31.959.356/0001-80,6/24/1988,5/22/2005,"Rua Verbo Divino,1356 - 
1ºandar
; CEP: 04719 - 002
; São Paulo - SP
; Tel.: (11)5186-2654
","Cancelou registro de Cia Aberta . O acionista controlador, Net Serviços de Comunicação S.A. realizou  OPA  mediante adoção de procedimento diferenciado, ao preço de R$ 1,35 /mil ações a ser atualizado pela TR pró rata-temporis, desde 06/08/2004 até a data do pagamento 04/04/2005."
CNV COMPANHIA NACIONAL DO VESTUÁRIO,CNV CIA VEST,LUMS,06.571.822/0001-09,7/2/1986,5/31/2002,"Rua dos Astronautas,1100
; CEP: 60545 - 350
; Fortaleza - CE
; Tel.: (85)292-1411",Registro cancelado pela BVRJ. A BOVESPA cancelou a autorização para negociação em 30/04/2001. 
COARI PARTICIPAÇÕES S.A.,COARI PART,COAR,04.030.087/0001-09,29/10/2001,18/04/2012,"Rua Humberto de Campos, 425 8º andar; CEP:22430-190; Rio de Janeiro - RJ; Tel.:(21) 3131-1211","Incorporada pela Oi S.A.. Os acionistas dissidentes da incorporação, foi concedido o direito de retirada no período compreendido entre 29/02/2012 a 29/03/2012, no valor de R$ 56,3622 por ação."
COBRASMA S.A.,COBRASMA,CBMA,61.080.313/0001-91,3/7/1946,3/6/2017,"Rua Prof. Luis Eulálio de Bueno Vidigal, 131; CEP: 06093-085; Osasco-SP; Tel.:(11) 4623-8436","Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
COEST-CONSTRUTORA S.A.,COEST CONST,COES,61.104.717/0001-78,6/13/1973,5/25/2000,"Rua Dr. Cardoso de Melo,1855  - 12ºandar / Cj.122
; CEP: 04548 - 005
; São Paulo - SP 
; Tel.: (11)3044-0860",Falta de atualização do registro perante a BOVESPA.
COFAP CIA FABRICADORA DE PEÇAS,COFAP,FAPC,57.500.001/0001-12,1/30/1974,4/30/2002,"Av. Alexandre de Gusmão,1395
; CEP: 90110 - 901
; Santo André - SP 
; Tel.: (11)4519-1000","Cancelou registro de Cia Aberta . Os acionistas controladores, ES Magneti Marelli Holding S.P.A., Magneti Marelli Ibérica S.A. e Mahle Industriebeteiligungen GMBH realizaram OPA na BOVESPA em 02/04/2002  ao preço de R$ 1,20 /ação."
COINVEST CIA DE INVESTIMENTOS INTERLAGOS,COINVEST,IVIL,61.460.762/0001-65,9/26/1946,12/8/2003,"Av. Nações Unidas,12551 - 19ºandar / Cjto.1912
; CEP: 04578 - 000
; São Paulo - SP 
; Tel.: (11)3043-8192","Cancelou registro de Cia Aberta . Os acionistas controladores, Perlita Agrícola e Pecuária S.A., Remida Empreendimentos Comerciais Ltda. e Villrama Empreendimentos Comerciais e Participações Ltda. realizaram OPA na BOVESPA em 21/11/2003 ao preço de R$ 0,15 /mil ações. "
COLDEX  FRIGOR S.A.,COLDEX,CLDX,61.189.601/0001-89,10/11/1985,11/20/2001,"Av. São Gabriel,333 - 2ºandar / Cjto 22
; CEP: 01435 - 001
; São Paulo - SP 
; Tel.: (11)3167-4262","Cancelou registro de Cia Aberta . O acionista controlador, Frigoria S.A. Administração Importação e Comércio realizou OPA na BOVESPA em 24/09/2001 ao preço de R$ 0,16 /mil ações."
CONC ROD OSORIO-PORTO ALEGRE S.A-CONCEPA,CONCEPA,CNCP ,01.654.604/0001-14,8/30/2004,8/21/2017,"Avenida Voluntários da Pátria, 4813; CEP: 90230-011; Porto Alegre-RS; Tel.:(51) 3027-7419","Listagem cancelada na B3, nos termos do item 9..3 (f) do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários."
CONC RODOVIA PRES. DUTRA S.A.,NOVADUTRA ,NDUT,00.861.626/0001-92,8/16/2004,8/21/2017,"Rodovia Presidente Dutra BR 116 - Km 184,3; CEP: 07500-000; Santa Isabel-SP; Tel.:(11) 2795-2400","Listagem cancelada na B3, nos termos do item 9..3 (f) do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários."
CONFAB INDUSTRIAL S.A.,CONFAB,CNFB,60.882.628/0001-90,24/09/1980,17/05/2012,"R Manoel Coelho, 303 7º andar - Conj. 72; CEP:09510-100; São Caetano do Sul - SP; Tel.:(11) 4221-4634","Cancelou registro de Cia. Aberta. A acionista controladora Tenaris S.A. realizou OPA na BMFBOVESPA em 26/04/2012, ao preço de R$ 5,85 por ação."
CONOVER TRADING S.A.,CONOVER,COVR,01.123.176/0001-01,5/17/1996,2/18/1999,"Rua Olavo Bilac,157   
; CEP: 04671-900
; São Paulo - SP   
; Tel.:  (11)5694-3823",Incorporada pela Cargil Agrícola S.A. Cada ação foi substituída por igual número de ações ON da Cargil Agrícola S.A. 
CONST. NORBERTO ODEBRECHT S.A.,NORB ODEBREC,DBRE,15.102.288/0001-82,6/24/1981,4/30/2002,"Praia de Botafogo,300 - 
11ºandar
; CEP: 22250 - 040
; Rio de Janeiro - RJ
; Tel.: (21)2559-3751","Cancelou registro de Cia Aberta . O acionista controlador, Odebrecht S.A. realizou OPA na BOVESPA em 08/03/2002 ao preço de R$ 5,54 /ação."
CONSTRUTORA BETER S.A.,CONST BETER,COBE,61.192.373/0001-04,12/2/1971,8/6/1999,"Estr. dos Bandeirantes,7966
; CEP: 22783-110
; Rio de Janeiro - RJ 
; Tel.:  (21)2441-2520",Mudou registro para Balcão Organizado (SOMA).
